Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
,,F6790,Operations Group,2 OG,,b-52 Simulator hypoxia (Altitude Training ) trainer upplies,2 OG provides all training for simulated hypoxia in our simulator to all certified flyers. This is required for all rated flyers on a recurring basis to keep up with training currencies    ,"Without ROBD supplies we would be forced to send all flyers TDY to chamber training increasing TDY cost to 578.00 per trip, per person, if they go to Little Rock AFB.  Extended cost would be in excess of 50k a year for the wing. It would also instill increased load onto other bases and reduce combat capability due to unqualified individuals not being able to get into training due to limited chamber avaliabilty.",0,11113F,,011A,E,61950,2603312,,331000,387700,"5,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,Facility Entrance Mat Claening,2 OG provides entrance rugs cleaning.,Without funding  each building would have to purchase rugs and clean themselves instead of paying a monthly cleaning service.,E,11113F,,011A,E,61950,2603312,,331000,387700,"10,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,Rated Flyers Contact Lens Program,Authorized per Air force instruction 2 OG provides contacts to all active flyers under the Flyers contact lens Program.,Without funding invidividuals would have to fly with glasses and have to have there equipment modified to fit with the glasses.,E,11113F,,011A,E,61950,2603312,,331000,387700,"8,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,Sat Phone,2 OG provides SAT phone for missions flying OCONUS to provide critical Beyond-Line-of-Site communications to ensure safety and survivability of the aircraft.,Without funding we would not be able to send current data to home station when we intercept or are intercepted by aircraft from different countries. ,E,11113F,,011A,E,61950,2603312,,331000,387700,"13,200.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,Mission TDY,"2OG to Pick up and Drop Off aircraft at Depot for PDM input/output, Aircraft is on an hourly flight schedule for program maintenance.  Aircraft have to go to Depot level maintenance to ensure survivabilty of our aging fleet.. Aircraft has to be flown from barksdale to Tinker AFB to drop off / pick up by 3 individual crew members.  Members fly up and drive rental back the next day or vice versa. ","If not funded, aircraft would not be able to be transported to and from PDM maintenance.  It would force the depot sched for all aircraft back and reduce our FMC certified aircraft.  Long term affects would be Combat capability would suffer due to individuals not having serviceable aircraft nessary for mission accomplishment.  Aircraft would not be avaliable for wartime use ",0,11113F,,011A,E,40924,2101101,,331000,387700,"20,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,Mission TDY,"For individuals going TDY, do to upgrade training schools and conferences. Not funded by AETC.  ","Without funding, will be unable to keep manning requirements for equipment verification specialist and up to date on various matters that occurs in regards to the mission. Mission TDYs required for flight crews, A/C sortie generation, aircraft Divert, 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).",2,11113F,,011A,E,40924,2101101,,,387700,"50,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,20th,,Mission TDY,"For individuals going TDY, do to upgrade training schools and conferences. Not funded by AETC.  ","Without funding, will be unable to keep manning requirements for equipment verification specialist and up to date on various matters that occurs in regards to the mission. Mission TDYs required for flight crews, A/C sortie generation, aircraft Divert, 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).",2,11113F,,011A,E,40924,2101101,,,387700,"45,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,96th,,Mission TDY,"For individuals going TDY, do to upgrade training schools and conferences. Not funded by AETC.  ","Without funding, will be unable to keep manning requirements for equipment verification specialist and up to date on various matters that occurs in regards to the mission. Mission TDYs required for flight crews, A/C sortie generation, aircraft Divert, 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).",2,11113F,,011A,E,40924,2101101,,,387700,"45,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,Linen/ building Cleaning for Reflex Aircraft alert facility,"Funds for the alert facility Cleaning of Linin and after use cleaning.  2 OSS has been directed to maintain the Alert Facility and the ability to house alert personnel 24hrs a day by the AFGSC/CC and 8 AF/CC.  Funding is required in order to have adequate linin and clean facilities.  The facility supports AFGSC aircraft and missions (B-52, EC-135, E-4B…conventional/nuclear generation, NC2/NC3).  The ABNCP (EC-135) and NAOC (E-4B) use the Barksdale Alert Facility as one of their primary staging locations.  At any point in time a single ABNCP or NAOC can arrive with anywhere from 24-70 personnel.",If not funded the there will be a severe impact to the ABNCP and NAOC missions as well as to the 2 BW’s ability to generate aircraft for both conventional and nuclear missions.,E,11113F,,011A,E,61900,2603301,,331000,387700,"20,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,FURNITURE,"2 OSS furniture was purchased at random dates, and due to the chips in the furniture coupled with broken drawers and worn spots in the finish of the desks, requires replacement because it does not represent a positive image of the 2 OSSS individuals assigned to this office.  Furniture to be replaced as required for unserviceable pieces.","Without funding, visitors to 2 OSS squadrons may lose confidence in the professionalism of the Squadron, and 2 OG overall",E,11113F,,011A,E,6390A,3106310,,,387700,"17,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,20th,,FURNITURE,"20th BS furniture was purchased at random dates, and due to the chips in the furniture coupled with broken drawers and worn spots in the finish of the desks, requires replacement because it does not represent a positive image of the 20th individuals assigned to this office.  Furniture to be replaced as required for unserviceable pieces.","Without funding, visitors to 20th BS squadrons may lose confidence in the professionalism of the Squadron, and 2 OG overall",E,11113F,,011A,E,6390A,3106310,,,387700,"18,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,96th,,FURNITURE,"96th BS furniture was purchased at random dates, and due to the chips in the furniture coupled with broken drawers and worn spots in the finish of the desks, requires replacement because it does not represent a positive image of the 96th individuals assigned to this office.  Furniture to be replaced as required for unserviceable pieces.","Without funding, visitors to 96th BS squadrons may lose confidence in the professionalism of the Squadron, and 2 OG overall",E,11113F,,011A,E,6390A,3106310,,,387700,"18,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,AFMSS,,Equipment,"AFMSS Support 2 Contractors and entire 2d OG (4 Squadrons) Gov't Purchase Card purchases for required equipment, for the Air Force Mission Systems Program replacement of non-fly equipment, items not categorized as flying hour authorized/approved.","If not funded, it would be forced to work with out of date and non functiong equipment items.  Lack of funding would result in failure of Flying Missions and all planning assosiated with Daily Flying Operations. ",2,28006F,,011C,J,61950,2603312,,331000,387700,"10,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,ATCALS,,Computer/Office Peripherals,AtCALS Gov't Purchase Card purchases for IT/ Office Peripherals are required for life cycle swap and updating of broken items.,"If not funded, it would be forced to utilze substandard equipment and degrade work effectivness to to unsatifactory standards.",2,35114F,,012A,J,61950,2603312,,3311M0,387700,"20,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Basewide,SFS,,Camp Guersney,Estimated amount based on 20 Personnel attending annually @$1.3k per member,,A,27588F,,012C,,40915,2101101,GT,374360,387700," 26,000.00 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
